marcador,kd,dist_gel1,dist_gel2,dist_gel3,dist_gel4,dist_frente1,dist_frente2,dist_frente3,dist_frente4
Marcador 1,250,1,0.8999999999999999,0.4,0.8000000000000003,5.7,5.3,4,4.300000000000001
Marcador 2,150,1.2999999999999998,1.2,0.7,1,5.7,5.3,4,4.300000000000001
Marcador 3,100,1.825,1.65,1,1.225,5.7,5.3,4,4.300000000000001
Marcador 4,75,2.3,2.05,1.3,1.5,5.7,5.3,4,4.300000000000001
Marcador 5,50,3.1999999999999997,2.8,1.9,1.9250000000000003,5.7,5.3,4,4.300000000000001
Marcador 6,37,3.85,3.5,2.55,2.4,5.7,5.3,4,4.300000000000001
Marcador 7,25,4.9,4.4,3.4,3.1,5.7,5.3,4,4.300000000000001
Marcador 8,20,5.300000000000001,4.9,3.8,4.199999999999999,5.7,5.3,4,4.300000000000001
Marcador 9,15,NA,5.2,NA,NA,NA,5.3,NA,NA
Marcador 10,10,NA,NA,NA,NA,NA,NA,NA,NA
