alumno,grupo,blanco,tubo1,tubo2,tubo3,tubo4,tubo5,tubo6,tubo7,onpg_blanco,onpg_1,onpg_2,onpg_3,onpg_4,onpg_5
1,Grupo 1,0,0.27,0.454,0.644,0.696,0.825,0.845,0.933,0,2,4,6,8,12
2,Grupo 1,0,0.226,0.425,0.394,0.652,0.791,0.941,0.791,0,2,4,6,8,12
3,Grupo 1,0,0.317,0.332,0.53,0.644,0.777,0.469,0.595,0,2,4,6,8,12
4,Grupo 1,0,0.037,0.192,0.2,0.53,0.533,0.608,0.643,0,2,4,6,8,12
5,Grupo 1,0,0.212,0.364,0.68,0.704,0.726,0.756,0.672,0,2,4,6,8,12
6,Grupo 1,0,0.224,0.434,0.516,0.643,0.562,0.74,0.735,0,2,4,6,8,12
7,Grupo 1,0,0.406,0.471,0.649,0.864,0.957,1.03,0.925,0,2,4,6,8,12
8,Grupo 1,0,0.116,0.132,0.307,0.593,0.498,0.634,0.62,0,2,4,6,8,12
9,Grupo 1,0,0.238,0.364,0.38,0.745,0.749,0.768,0.775,0,2,4,6,8,12
10,Grupo 1,0,0.299,0.393,0.297,0.542,0.516,0.64,0.671,0,2,4,6,8,12
11,Grupo 1,0,0.206,0.417,0.571,0.682,0.665,0.626,0.662,0,2,4,6,8,12
12,Grupo 1,0,0.05,0.131,0.266,0.361,0.367,0.403,0.412,0,2,4,6,8,12
13,Grupo 2,0,0.131,0.291,0.376,0.465,0.654,0.193,0.626,0,2,4,6,8,12
14,Grupo 2,0,0.15,0.27,0.385,0.466,0.639,0.245,0.396,0,2,4,6,8,12
15,Grupo 2,0,0.111,0.254,0.432,0.513,0.622,0.25,0.374,0,2,4,6,8,12
16,Grupo 2,0,0.151,0.295,0.398,0.498,0.67,0.26,0.558,0,2,4,6,8,12
17,Grupo 2,0,0.15,0.29,0.52,0.536,0.659,0.31,0.482,0,2,4,6,8,12
18,Grupo 2,0,0.16,0.282,0.363,0.463,0.601,0.31,0.421,0,2,4,6,8,12
19,Grupo 2,0,0.16,0.277,0.362,0.441,0.625,0.25,0.433,0,2,4,6,8,12
20,Grupo 3,0,0.104,0.198,0.25,0.311,0.47,0.103,0.15,0,2,4,6,8,12
21,Grupo 3,0,0.127,0.293,0.442,0.484,0.617,0.25,0.334,0,2,4,6,8,12
22,Grupo 3,0,0.146,0.259,0.334,0.437,0.585,0.189,0.353,0,2,4,6,8,12
23,Grupo 3,0,0.141,0.255,0.376,0.448,0.603,0.167,0.294,0,2,4,6,8,12
24,Grupo 3,0,0.069,0.167,0.25,0.28,0.341,0.258,0.339,0,2,4,6,8,12
25,Grupo 3,0,0.164,0.266,0.38,0.467,0.607,0.251,0.346,0,2,4,6,8,12
26,Grupo 3,0,0.203,0.305,0.375,0.508,0.572,0.227,0.364,0,2,4,6,8,12
27,Grupo 3,0,0.141,0.26,0.354,0.46,0.593,0.235,0.367,0,2,4,6,8,12
28,Grupo 3,0,0.083,0.183,0.293,0.402,0.527,0.191,0.32,0,2,4,6,8,12
29,Grupo 4,0,0.196,0.354,0.495,0.565,0.753,0.319,0.446,0,2,4,6,8,12
30,Grupo 4,0,0.258,0.438,0.481,0.527,0.711,0.435,0.577,0,2,4,6,8,12
31,Grupo 4,0,0.275,0.394,0.505,0.594,0.856,0.433,0.718,0,2,4,6,8,12
32,Grupo 4,0,0.207,0.4,0.456,0.69,0.855,0.251,0.47,0,2,4,6,8,12
33,Grupo 4,0,0.181,0.32,0.432,0.561,0.746,0.159,0.258,0,2,4,6,8,12
34,Grupo 4,0,0.152,0.304,0.405,0.508,0.693,0.204,0.312,0,2,4,6,8,12
35,Grupo 4,0,0.136,0.219,0.349,0.439,0.579,0.205,0.252,0,2,4,6,8,12
36,Grupo 4,0,0.196,0.328,0.031,0.441,0.599,0.039,0.089,0,2,4,6,8,12
37,Grupo 4,0,0.182,0.187,0.45,0.365,0.153,0.187,0.375,0,2,4,6,8,12
