grupo,hora,exposicion,replica,tleaf,a,gs,e,q
2,10:30,SOL,H1,NA,4,NA,0.19,1900
2,10:30,SOL,H2,NA,3.41,NA,0.07,1900
2,10:30,SOL,H3,22.4,1.43,0.03,0.49,1900
2,10:30,SOMBRA,H4,21.5,0.3,NA,0.01,70
2,10:30,SOMBRA,H5,21.9,0.16,NA,NA,70
2,10:30,SOMBRA,H6,9.4,0.5,0.01,1.29,70
1,11:00,SOL,H1,NA,0.78,NA,NA,1800
1,11:00,SOL,H2,26.8,5.83,0.03,0.9,1800
1,11:00,SOL,H3,24.4,7.14,0.1,1.8,1800
1,11:00,SOMBRA,H4,NA,0.07,NA,NA,60
1,11:00,SOMBRA,H5,21.8,-0.39,0.04,0.79,60
1,11:00,SOMBRA,H6,21.1,0.25,0.1,1.68,60
6,11:30,SOL,H1,27.8,7.3,0.1,2.51,1900
6,11:30,SOL,H2,28,1.13,0.02,0.87,1900
6,11:30,SOL,H3,23.7,2.46,0.03,0.89,1900
6,11:30,SOMBRA,H4,21,-1.45,0.01,0.13,70
6,11:30,SOMBRA,H5,22.5,0.34,0.02,0.43,70
6,11:30,SOMBRA,H6,21.1,0.15,0.07,0.33,70
5,12:00,SOL,H1,25.8,2.59,0.01,0.43,1800
5,12:00,SOL,H2,25.8,2.47,0.01,0.34,1800
5,12:00,SOL,H3,26.3,0.22,0.04,1.13,1800
5,12:00,SOMBRA,H4,20.9,1.02,NA,0.22,68
5,12:00,SOMBRA,H5,21.3,-0.49,0.05,0.53,68
5,12:00,SOMBRA,H6,21.1,NA,0.01,0.23,68
4,12:30,SOL,H1,21.5,4.27,0.04,0.92,1250
4,12:30,SOL,H2,21.6,3.39,0.05,0.99,1100
4,12:30,SOL,H3,21.3,4.15,0.05,0.96,1250
4,12:30,SOMBRA,H4,16.1,0.7,0.04,0.53,52
4,12:30,SOMBRA,H5,16.2,0.05,0.01,0.22,52
4,12:30,SOMBRA,H6,9.6,0.28,0.14,0.88,52
3,13:00,SOL,H1,24.01,3.06,0.05,1.41,1700
3,13:00,SOL,H2,35.1,1.38,0.02,0.53,1700
3,13:00,SOL,H3,NA,NA,NA,NA,1700
3,13:00,SOMBRA,H4,24.2,-1.7,0.01,NA,70
3,13:00,SOMBRA,H5,22.9,0.12,NA,0.33,NA
3,13:00,SOMBRA,H6,NA,NA,NA,NA,NA
