replica,hoja,exposicion,nbi,chl,flav,antocianinas
H1,Adulta,Sol,31,62.2,2,0.11
H2,Adulta,Sol,24.4,51.2,2.1,0.11
H3,Adulta,Sol,34.8,70.2,2.02,0.06
H4,Adulta,Sol,9.8,17,1.74,0.01
H5,Adulta,Sol,21.4,42.7,2,0.17
H6,Adulta,Sol,13.2,24.9,1.89,0.11
H7,Adulta,Sol,21.6,34.3,1.81,0.2
H8,Adulta,Sol,18.1,43.7,2.41,0.3
H9,Adulta,Sol,20.3,39.8,1.96,0.18
H10,Adulta,Sombra,26,54.1,2.08,0.07
H11,Adulta,Sombra,26,54,2.07,0.08
H12,Adulta,Sombra,24.7,54.1,2.19,0.11
H13,Adulta,Sombra,7.5,11.2,1.5,0.15
H14,Adulta,Sombra,17.3,34.7,2,0.06
H15,Adulta,Sombra,7.6,11.4,1.51,0.09
H16,Adulta,Sombra,20.5,44.2,2.15,0.11
H17,Adulta,Sombra,32.7,68.3,2.09,0.11
H18,Adulta,Sombra,21.1,45.7,2.16,0.15
H19,Senescente,Sol,8.6,18.5,2.15,0.34
H20,Senescente,Sol,9.4,20,2.3,0.4
H21,Senescente,Sol,7.2,17,2,0.32
H22,Senescente,Sol,30.9,63.9,2.07,0.6
H23,Senescente,Sol,28.9,60.2,2.08,0.15
H24,Senescente,Sol,23.5,48.7,2.07,0.11
H25,Senescente,Sol,24.1,56.5,2.34,0.24
H26,Senescente,Sol,30,63.3,2.11,0.4
H27,Senescente,Sol,28.9,60.8,2.1,0.1
H28,Senescente,Sombra,32.3,72.3,1.93,0
H29,Senescente,Sombra,18.3,39.6,2.13,0.1
H30,Senescente,Sombra,14.1,40.8,2.13,0.2
H31,Senescente,Sombra,25.1,50.1,2,0.12
H32,Senescente,Sombra,26.3,30.05,1.87,0.05
H33,Senescente,Sombra,16.1,35.9,2.23,0.39
H34,Senescente,Sombra,11.2,22.5,1.57,0.42
H35,Senescente,Sombra,20.02,42.4,2.1,0.14
H36,Senescente,Sombra,18,38.4,2.13,0.25
H37,Joven,Sol,28.9,56.2,1.94,0.23
H38,Joven,Sol,31.3,65.6,2.1,0.14
H39,Joven,Sol,27.3,51.2,1.88,0.09
H40,Joven,Sol,34.3,68.2,1.99,0.15
H41,Joven,Sol,30,62.5,2.08,0.15
H42,Joven,Sol,28.3,59.6,2.11,0.13
H43,Joven,Sombra,30.6,64.7,2.11,0.07
H44,Joven,Sombra,21,45.4,2.16,0.12
H45,Joven,Sombra,32.9,68.1,2.07,0.05
H46,Joven,Sombra,25.9,48.1,2.01,0.11
H47,Joven,Sombra,28.2,61,2.17,0.09
H48,Joven,Sombra,19.8,42,2.12,0.09
