haz_enves,nbi,chl,flav,antocianinas,hoja,exposicion,h_e
Haz sol,4.5,7.2,1.6,0.25,Adulta,Sol,Haz
Haz sol,7.6,12.5,1.64,0.32,Adulta,Sol,Haz
Haz sol,16.4,34.9,2.13,0.22,Adulta,Sol,Haz
Haz sol,11.9,24,2.02,0.24,Adulta,Sol,Haz
Haz sol,14,30.2,2.15,0.22,Adulta,Sol,Haz
Haz sol,8.4,17.2,2.05,0.22,Adulta,Sol,Haz
Haz sol,23.6,48.2,2.04,0.13,Adulta,Sol,Haz
Haz sol,20.04,39.6,1.94,0.19,Adulta,Sol,Haz
Haz sol,19,40,2.11,0.17,Adulta,Sol,Haz
Haz sombra,14.1,23.7,1.68,0.19,Adulta,Sombra,Haz
Haz sombra,11.7,19.9,1.7,0.23,Adulta,Sombra,Haz
Haz sombra,15,26.3,1.76,0.17,Adulta,Sombra,Haz
Haz sombra,13.4,21.9,1.63,0.22,Adulta,Sombra,Haz
Haz sombra,12.3,21.5,1.76,0.23,Adulta,Sombra,Haz
Haz sombra,10.6,22.6,2.13,0.28,Adulta,Sombra,Haz
Haz sombra,5.5,6.6,1.2,0.22,Adulta,Sombra,Haz
Haz sombra,18.3,34.5,1.88,0.15,Adulta,Sombra,Haz
Haz sombra,13.1,27,2.07,0.15,Adulta,Sombra,Haz
Envés sol,11.5,25.2,2.2,0.27,Adulta,Sol,Envés
Envés sol,8.9,16.8,1.89,0.28,Adulta,Sol,Envés
Envés sol,12.4,26.4,2.13,0.3,Adulta,Sol,Envés
Envés sol,11.9,23.4,1.97,0.26,Adulta,Sol,Envés
Envés sol,19.9,39.4,1.98,0.23,Adulta,Sol,Envés
Envés sol,11.2,23.8,2.11,0.24,Adulta,Sol,Envés
Envés sol,14.2,30.7,2.16,0.24,Adulta,Sol,Envés
Envés sol,13.1,28.4,2.16,0.22,Adulta,Sol,Envés
Envés sol,13.3,28.9,2.18,0.17,Adulta,Sol,Envés
Envés sombra,16.3,32,1.96,0.19,Adulta,Sombra,Envés
Envés sombra,19.5,36.3,1.55,0.16,Adulta,Sombra,Envés
Envés sombra,13.1,25.9,1.98,0.24,Adulta,Sombra,Envés
Envés sombra,9.9,14.3,1.45,0.2,Adulta,Sombra,Envés
Envés sombra,17.5,29.1,1.66,0.18,Adulta,Sombra,Envés
Envés sombra,21.9,42.2,1.92,0.13,Adulta,Sombra,Envés
Envés sombra,15.3,30.2,1.97,0.17,Adulta,Sombra,Envés
Envés sombra,21.1,48.8,2.01,0.16,Adulta,Sombra,Envés
Envés sombra,9.1,17.1,1.88,0.3,Adulta,Sombra,Envés
