grupo,hora,especie,hoja,exposicion,replica,temperatura,vaselina
5,10:00,Rosalillo,Adulta,Sol,H1,15.9,Con vaselina
5,10:00,Rosalillo,Adulta,Sol,H2,18.4,Con vaselina
5,10:00,Rosalillo,Adulta,Sol,H3,16.17,Con vaselina
5,10:00,Rosalillo,Adulta,Sombra,H4,10,Con vaselina
5,10:00,Rosalillo,Adulta,Sombra,H5,2.3,Con vaselina
5,10:00,Rosalillo,Adulta,Sombra,H6,3,Con vaselina
3,12:00,Rosalillo,Adulta,Sol,H1,17,Con vaselina
3,12:00,Rosalillo,Adulta,Sol,H2,24.3,Con vaselina
3,12:00,Rosalillo,Adulta,Sol,H3,15.5,Con vaselina
3,12:00,Rosalillo,Adulta,Sombra,H4,14,Con vaselina
3,12:00,Rosalillo,Adulta,Sombra,H5,10.2,Con vaselina
3,12:00,Rosalillo,Adulta,Sombra,H6,21,Con vaselina
2,11:30,Rosalillo,Adulta,Sol,H1,12,Con vaselina
2,11:30,Rosalillo,Adulta,Sol,H2,14,Con vaselina
2,11:30,Rosalillo,Adulta,Sol,H3,13.9,Con vaselina
2,11:30,Rosalillo,Adulta,Sombra,H4,12.7,Con vaselina
2,11:30,Rosalillo,Adulta,Sombra,H5,10.3,Con vaselina
2,11:30,Rosalillo,Adulta,Sombra,H6,6.4,Con vaselina
6,10:30,Rosalillo,Adulta,Sol,H1,14.8,Con vaselina
6,10:30,Rosalillo,Adulta,Sol,H2,9.6,Con vaselina
6,10:30,Rosalillo,Adulta,Sol,H3,9.7,Con vaselina
6,10:30,Rosalillo,Adulta,Sombra,H4,5.6,Con vaselina
6,10:30,Rosalillo,Adulta,Sombra,H5,4.3,Con vaselina
6,10:30,Rosalillo,Adulta,Sombra,H6,5.4,Con vaselina
1,11:00,Rosalillo,Adulta,Sol,H1,15.7,Con vaselina
1,11:00,Rosalillo,Adulta,Sol,H2,14.7,Con vaselina
1,11:00,Rosalillo,Adulta,Sol,H3,15.1,Con vaselina
1,11:00,Rosalillo,Adulta,Sombra,H4,12.8,Con vaselina
1,11:00,Rosalillo,Adulta,Sombra,H5,12.3,Con vaselina
1,11:00,Rosalillo,Adulta,Sombra,H6,12.3,Con vaselina
4,12:30,Rosalillo,Adulta,Sol,H1,13.7,Con vaselina
4,12:30,Rosalillo,Adulta,Sol,H2,14.2,Con vaselina
4,12:30,Rosalillo,Adulta,Sol,H3,13.6,Con vaselina
4,12:30,Rosalillo,Adulta,Sombra,H4,8.5,Con vaselina
4,12:30,Rosalillo,Adulta,Sombra,H5,8.7,Con vaselina
4,12:30,Rosalillo,Adulta,Sombra,H6,8.6,Con vaselina
5,10:00,Rosalillo,Adulta,Sol,H1,12.1,Sin vaselina
5,10:00,Rosalillo,Adulta,Sol,H2,13.6,Sin vaselina
5,10:00,Rosalillo,Adulta,Sol,H3,14.5,Sin vaselina
5,10:00,Rosalillo,Adulta,Sombra,H4,7.2,Sin vaselina
5,10:00,Rosalillo,Adulta,Sombra,H5,1.2,Sin vaselina
5,10:00,Rosalillo,Adulta,Sombra,H6,2.1,Sin vaselina
3,12:00,Rosalillo,Adulta,Sol,H1,28.4,Sin vaselina
3,12:00,Rosalillo,Adulta,Sol,H2,31.7,Sin vaselina
3,12:00,Rosalillo,Adulta,Sol,H3,30.8,Sin vaselina
3,12:00,Rosalillo,Adulta,Sombra,H4,21.7,Sin vaselina
3,12:00,Rosalillo,Adulta,Sombra,H5,18,Sin vaselina
3,12:00,Rosalillo,Adulta,Sombra,H6,7.8,Sin vaselina
2,11:30,Rosalillo,Adulta,Sol,H1,13.3,Sin vaselina
2,11:30,Rosalillo,Adulta,Sol,H2,13.2,Sin vaselina
2,11:30,Rosalillo,Adulta,Sol,H3,13.1,Sin vaselina
2,11:30,Rosalillo,Adulta,Sombra,H4,8.3,Sin vaselina
2,11:30,Rosalillo,Adulta,Sombra,H5,8.8,Sin vaselina
2,11:30,Rosalillo,Adulta,Sombra,H6,7,Sin vaselina
6,10:30,Rosalillo,Adulta,Sol,H1,10.8,Sin vaselina
6,10:30,Rosalillo,Adulta,Sol,H2,12.7,Sin vaselina
6,10:30,Rosalillo,Adulta,Sol,H3,11.1,Sin vaselina
6,10:30,Rosalillo,Adulta,Sombra,H4,5.9,Sin vaselina
6,10:30,Rosalillo,Adulta,Sombra,H5,7.5,Sin vaselina
6,10:30,Rosalillo,Adulta,Sombra,H6,6.4,Sin vaselina
1,11:00,Rosalillo,Adulta,Sol,H1,11.4,Sin vaselina
1,11:00,Rosalillo,Adulta,Sol,H2,11.1,Sin vaselina
1,11:00,Rosalillo,Adulta,Sol,H3,13.3,Sin vaselina
1,11:00,Rosalillo,Adulta,Sombra,H4,12.2,Sin vaselina
1,11:00,Rosalillo,Adulta,Sombra,H5,11.5,Sin vaselina
1,11:00,Rosalillo,Adulta,Sombra,H6,12.8,Sin vaselina
4,12:30,Rosalillo,Adulta,Sol,H1,13.8,Sin vaselina
4,12:30,Rosalillo,Adulta,Sol,H2,12.5,Sin vaselina
4,12:30,Rosalillo,Adulta,Sol,H3,15.6,Sin vaselina
4,12:30,Rosalillo,Adulta,Sombra,H4,6,Sin vaselina
4,12:30,Rosalillo,Adulta,Sombra,H5,0.7,Sin vaselina
4,12:30,Rosalillo,Adulta,Sombra,H6,3,Sin vaselina
