ag,levadura1,levadura2,levadura3,levadura4,lectina_marina1,lectina_marina2,lectina_marina3,lectina_marina4,echium_bacalao1,echium_bacalao2,echium_bacalao3,echium_bacalao4,enrquecedor_comercial1,enrquecedor_comercial2,enrquecedor_comercial3,enrquecedor_comercial4
16:0,10.91,11.13,10.8,NA,11.88,12.14,12.23,12.62,10.56,10.38,10.49,10.49,11.91,11.88,11.9,11.75
16:1n-7,2.52,2.56,2.54,NA,2.28,2.35,2.28,2.39,2.76,2.9,2.8,2.92,2.26,2.27,2.25,2.27
18:0,5.74,5.86,5.68,NA,5.37,5.82,5.56,5.88,5.23,5.11,5.25,5.14,5.24,5.25,5.25,5.22
18:1n-9,21.22,22.06,21.75,NA,17.68,18.5,18.01,18.85,19.87,19.43,19.95,19.56,19,19,18.86,19.19
18:2n-6,6.71,6.61,6.98,NA,4.52,4.41,4.3,4.15,6.36,6.27,6.25,6.38,7,6.83,6.69,6.77
18:3n-6,NA,NA,NA,NA,NA,NA,NA,NA,0.94,0.93,1.03,1.01,NA,NA,NA,NA
18:3n-3,24.61,23.47,24.28,NA,21.92,21.32,21.43,20.6,26.29,26.19,25.67,26.29,23.33,23.15,22.97,23.02
18:4n-3,3.57,3.2,3.48,NA,3.06,2.85,2.91,2.56,4.49,4.46,4.57,4.75,3.26,3.23,3.2,3.22
20:4n-6,1.39,1.32,1.4,NA,1.35,1.26,1.29,1.19,0.98,0.98,0.98,0.97,1.56,1.53,1.54,1.55
20:5n-3,2.18,1.91,2.14,NA,4.86,4.38,4.65,3.71,2.54,2.55,2.66,2.68,2.96,2.89,2.93,2.94
22:6n-3,NA,NA,NA,NA,3.72,3.33,3.75,2.57,0.62,0.59,0.7,0.73,3.81,3.64,3.98,3.93
