tratamiento,componentes,valores
Levadura,RC2,1.4498578314811768
Levadura,RC2,1.308600117903779
Levadura,RC2,1.2707768630094693
Levadura,RC2,1.451661074705754
Lectina marina,RC2,-0.9829165360661198
Lectina marina,RC2,-1.5175878575318893
Lectina marina,RC2,-1.5885588761727385
Lectina marina,RC2,-1.1683531802131326
Echium/Bacalao,RC2,0.10429539668700738
Echium/Bacalao,RC2,0.23255454157362154
Echium/Bacalao,RC2,0.13824394332952283
Echium/Bacalao,RC2,0.16266395202273404
Enriquecedor comercial,RC2,-0.19839170710476642
Enriquecedor comercial,RC2,-0.18629367536834618
Enriquecedor comercial,RC2,-0.2989902826120388
Enriquecedor comercial,RC2,-0.17756160564403095
